          target           |                  source                  |     category     
 gola                      | throat                                   | noun1
 gomito                    | elbow                                    | noun1
 gomma                     | rubber , gum                             | noun1
 gonna                     | skirt                                    | noun1
 governatore               | governor                                 | noun2m
 governo                   | government                               | noun1
 gradinata                 | tier                                     | noun1
 gradino                   | step                                     | noun1
 gradino                   | step, (stairs, gr...)                    | noun1
 grado                     | degree (temperature)                     | noun1
 graffetta                 | paper clip , staple                      | noun1
 grandine                  | hail                                     | noun2f
 gratitudine               | gratitude                                | noun2f
 griglia                   | grill                                    | noun1
 gruppo                    | group                                    | noun1
 guaio                     | trouble, woe                             | noun1
 guanto                    | glove                                    | noun1
 guardaroba                | wardrobe                                 | nouninvm
 guerra                    | war                                      | noun1
 guidatore                 | driver (masc.)                           | noun2m
 guidatrice                | driver (fem.)                            | noun2f
 gusto                     | taste , flavor                           | noun1
 i miei                    | short for "my parents"                   | nounplm
 idea                      | idea                                     | noun1
 idraulico                 | plummer                                  | noun1
 igiene                    | hygiene                                  | nounsingf
 imballaggio               | packaging                                | noun1
 imbarco                   | boarding                                 | noun1
 imbianchino               | wall painter                             | noun1
 immondizia                | garbage                                  | noun1
 impegno                   | commitment                               | noun1
 impianto                  | electric system                          | noun1
 impianto stereo           | stereo system                            | nounsingm
 impiegato                 | employee                                 | noun1
 impresa                   | enterprise                               | noun1
 impressione               | impression                               | noun2f
 incidente                 | accident                                 | noun2m
 incontro                  | meeting                                  | noun1
 incremento                | increment                                | noun1
 incrocio                  | intersection                             | noun1
 indicazione               | direction (to find a place)              | noun2f
 indirizzo                 | street address                           | noun1
 industria                 | industry                                 | noun1
 infermiera                | female nurse                             | noun1
 infermiere                | male nurse                               | noun2m
 infezione                 | infection                                | noun2f
 influenza                 | influence , flu                          | noun1
 informatica               | information technology                   | noun1
 ingegnere                 | engineer                                 | noun1m
 ingegnere                 | engineer                                 | noun2m
 ingrediente               | ingredient                               | noun2m
 inquilina                 | female tenant                            | noun1
 inquilino                 | male tenant                              | noun1
 inquinamento              | pollution                                | noun1
 insalata                  | salad                                    | noun1
 insegnante                | teacher                                  | noun2
 insetto                   | insect                                   | noun1
 insonnia                  | insomnia                                 | noun1
 interesse                 | interest                                 | noun2
 intervallo                | intermission                             | noun1
 inventore                 | inventor (male)                          | noun2m
 inventrice                | inventor (female)                        | noun2f
 invenzione                | invention                                | noun2f
 inverno                   | winter                                   | noun1
 investimento              | investment                               | noun1
 isola                     | island                                   | noun1
